"sistema";"uf_sigla";"uf_codigo";"uf_nome";"granularidade";"filtro_cid";"periodo";"valor"
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Nov";216
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Dez";260
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Jan";399
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Fev";219
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Mar";239
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Abr";195
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Mai";242
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Jun";202
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Jul";239
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Ago";213
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Set";175
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Out";198
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Nov";194
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2022/Dez";239
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Jan";195
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Fev";188
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Mar";229
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Abr";235
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Mai";231
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Jun";201
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Jul";221
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Ago";231
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Set";209
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Out";197
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Nov";183
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2023/Dez";188
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Jan";240
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Fev";214
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Mar";257
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Abr";246
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Mai";235
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Jun";194
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Jul";190
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Ago";208
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Set";186
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Out";206
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Nov";198
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2024/Dez";200
